Date,Freight_Price,Oil_Price
2010-09-01,91.0,82.31
2010-10-01,89.0,83.15
2010-11-01,87.0,85.92
2010-12-01,84.0,94.75
2011-01-01,84.0,101.01
2011-02-01,83.0,111.8
2011-03-01,82.0,117.36
2011-04-01,82.0,125.89
2011-05-01,82.0,116.73
2011-06-01,82.0,112.48
2011-07-01,81.0,116.74
2011-08-01,75.0,114.85
2011-09-01,73.0,102.76
2011-10-01,59.0,109.56
2011-11-01,56.0,110.52
2011-12-01,56.0,107.38
2012-01-01,59.0,110.98
2012-02-01,59.0,122.66
2012-03-01,59.0,122.88
2012-04-01,58.0,119.47
2012-05-01,57.0,101.43
2012-06-01,57.0,97.88
2012-07-01,56.0,103.84
2012-08-01,56.0,114.05
2012-09-01,56.0,111.58
2012-10-01,56.0,107.56
2012-11-01,55.0,110.25
2012-12-01,54.0,109.89
2013-01-01,55.0,114.54
2013-02-01,54.0,110.42
2013-03-01,54.0,110.02
2013-04-01,54.0,102.37
2013-05-01,54.0,100.39
2013-06-01,53.0,102.16
2013-07-01,54.0,107.7
2013-08-01,52.0,114.01
2013-09-01,52.0,108.37
2013-10-01,53.0,108.84
2013-11-01,55.0,109.69
2013-12-01,59.0,110.8
2014-01-01,63.0,106.4
2014-02-01,66.0,109.07
2014-03-01,70.0,107.76
2014-04-01,71.0,108.07
2014-05-01,73.0,108.68
2014-06-01,73.0,112.07
2014-07-01,73.0,106.53
2014-08-01,73.0,103.77
2014-09-01,74.0,95.32
2014-10-01,73.0,86.34
2014-11-01,74.0,70.58
2014-12-01,75.0,58.21
2015-01-01,78.0,53.95
2015-02-01,78.0,63.15
2015-03-01,79.0,56.21
2015-04-01,79.0,67.45
2015-05-01,80.0,66.14
2015-06-01,80.0,64.14
2015-07-01,80.0,52.85
2015-08-01,81.0,54.99
2015-09-01,80.0,49.05
2015-10-01,80.0,50.31
2015-11-01,80.0,45.24
2015-12-01,80.0,37.67
2016-01-01,79.0,35.99
2016-02-01,77.0,36.57
2016-03-01,76.0,40.33
2016-04-01,75.0,47.37
2016-05-01,73.0,49.89
2016-06-01,65.0,49.71
2016-07-01,63.0,43.53
2016-08-01,62.0,46.89
2016-09-01,61.0,50.19
2016-10-01,60.0,48.61
2016-11-01,60.0,51.84
2016-12-01,60.0,57.49
2017-01-01,59.0,55.58
2017-02-01,60.0,56.51
2017-03-01,60.0,53.53
2017-04-01,60.0,52.05
2017-05-01,61.0,50.76
2017-06-01,62.0,48.77
2017-07-01,62.0,52.72
2017-08-01,61.0,52.86
2017-09-01,61.0,56.79
2017-10-01,60.97,60.94
2017-11-01,61.17,62.63
2017-12-01,61.26,66.44
2018-01-01,61.28,68.89
2018-02-01,61.4,64.73
2018-03-01,61.48,69.34
2018-04-01,61.59,74.69
2018-05-01,61.73,77.56
2018-06-01,61.73,79.23
2018-07-01,61.81,74.21
2018-08-01,61.98,77.64
2018-09-01,61.84,82.73
2018-10-01,62.36,75.04
2018-11-01,63.24,59.46
2018-12-01,64.09,54.02
2019-01-01,66.46,60.84
2019-02-01,66.83,66.31
2019-03-01,67.1,67.58
2019-04-01,67.51,72.06
2019-05-01,67.53,61.99
2019-06-01,68.92,64.74
2019-07-01,69.83,65.05
2019-08-01,70.7,59.25
2019-09-01,70.86,59.25
